aadh,6,7
abdg,7,8
ajbj,12,13
agah,15,16
aiig,16,17
ahjh,20,21
aicc,36,37
ajec,39,40
aiab,41,42
afjj,54,55
agab,56,57
ahcj,72,73
ahdc,80,81
aidc,102,3
aabg,109,10
ajdh,111,12
adfa,139,40
adfd,159,60
aech,160,61
agfi,163,64
acij,164,65
aagg,166,67
addd,174,75
aabd,176,77
abgg,188,89
abjf,190,91
ahbf,237,38
aahh,263,64
abfg,275,76
aebg,275,76
agai,296,97
acae,304,5
aabh,305,6
ahca,336,37
aage,365,66
abjc,369,70
abdh,398,99
ahfh,410,11
ajbb,416,17
abhc,430,31
afbg,434,35
ajcj,455,56
afff,457,58
agha,460,61
ajeh,489,90
ajfa,502,3
acjh,509,10
acif,521,22
aadd,525,26
afcd,531,32
adig,535,36
addf,556,57
adah,566,67
ajca,579,80
aadi,599,100
aeef,629,30
adgf,639,40
aadc,641,42
agac,666,67
accb,673,74
abjd,685,86
aidg,719,20
aida,721,22
afde,767,68
adbd,771,72
aiba,773,74
afib,776,77
afic,794,95
agfa,802,3
aibj,830,31
abee,835,36
aibh,854,55
abjb,868,69
aihb,887,88
aaie,909,10
acfg,916,17
affc,932,33
ajah,939,40
ahaj,944,45
adbe,971,72
aaea,1005,6
aahe,1006,7
abcd,1008,9
agfg,1017,18
aabj,1024,25
aieh,1034,35
abhg,1043,44
accj,1044,45
abbe,1060,61
acab,1116,17
addi,1122,23
abbc,1166,67
aiea,1179,80
ahbh,1186,87
aiii,1189,90
acib,1190,91
ahgg,1195,96
acfa,1202,3
aihf,1206,7
acdd,1210,11
addh,1215,16
aecf,1216,17
acac,1218,19
aafe,1237,38
aaac,1240,41
adib,1242,43
aebe,1258,59
abhf,1265,66
aibi,1281,82
aige,1284,85
adbg,1293,94
abbi,1323,24
abja,1340,41
aheb,1353,54
ahdi,1366,67
aeaa,1368,69
agci,1394,95
ajja,1399,100
abid,1403,4
acca,1410,11
acig,1410,11
acbd,1411,12
aiie,1412,13
acia,1451,52
adec,1458,59
aiae,1483,84
afbi,1510,11
abeg,1523,24
adce,1524,25
adji,1532,33
agag,1542,43
ajgc,1543,44
abje,1557,58
agaa,1567,68
adfg,1588,89
afci,1602,3
afcj,1608,9
afhe,1616,17
afai,1633,34
aeie,1646,47
agcj,1659,60
afhh,1661,62
ajee,1666,67
abcc,1697,98
aaii,1699,100
ahce,1709,10
addj,1710,11
afcf,1719,20
aggc,1724,25
afgd,1743,44
abjh,1745,46
afgc,1756,57
abde,1769,70
accd,1779,80
ahji,1787,88
aebh,1793,94
adic,1800,1
aejc,1811,12
ajfg,1835,36
adgi,1854,55
abef,1855,56
aaja,1864,65
ajcf,1870,71
afbb,1896,97
aicg,1922,23
abfi,1925,26
abea,1929,30
adci,1938,39
afhf,1941,42
adai,1944,45
afag,1950,51
acgj,1968,69
ahih,1972,73
aafg,1986,87
aiag,1986,87
aheh,1995,96
afbd,2003,4
aigh,2004,5
aeib,2038,39
aaeh,2060,61
abbf,2075,76
afba,2081,82
ajfe,2100,1
ahbd,2107,8
aeee,2108,9
aiic,2118,19
acdc,2160,61
abga,2162,63
aadj,2174,75
ahbg,2182,83
abai,2206,7
abdj,2213,14
abbb,2229,30
ahhe,2245,46
ahjc,2260,61
agbh,2269,70
ahdj,2269,70
aegb,2271,72
abag,2277,78
aihc,2278,79
agff,2297,98
aeea,2319,20
ajef,2324,25
aabf,2349,50
achh,2353,54
abii,2354,55
aijh,2355,56
aahj,2380,81
abib,2383,84
aeeh,2383,84
abfc,2385,86
acgb,2393,94
adbc,2401,2
ahfd,2401,2
acfi,2402,3
aije,2406,7
agfj,2411,12
ahgi,2420,21
ahdg,2443,44
acdf,2465,66
ahie,2472,73
aicd,2472,73
ahje,2473,74
adaa,2477,78
aaef,2483,84
aecb,2489,90
afgf,2524,25
aiac,2524,25
aahc,2539,40
aigj,2550,51
agde,2562,63
adcj,2573,74
aiee,2576,77
aihh,2580,81
ahgc,2582,83
aidi,2602,3
aghh,2614,15
ajhj,2615,16
aafj,2616,17
aaaf,2624,25
agig,2634,35
abia,2666,67
afea,2666,67
adhj,2682,83
aefj,2692,93
agga,2699,100
afdh,2718,19
acej,2746,47
adhe,2754,55
adfb,2766,67
acef,2768,69
ahff,2787,88
aihd,2793,94
agij,2797,98
aijd,2799,100
aedf,2800,1
ajdd,2803,4
afdf,2806,7
acie,2823,24
acgi,2834,35
aeae,2844,45
aibd,2848,49
agca,2850,51
aigc,2868,69
adja,2869,70
achg,2873,74
aejb,2875,76
aaih,2895,96
aghj,2901,2
ajge,2903,4
aggj,2904,5
abab,2921,22
ahgf,2922,23
ahei,2926,27
aada,2933,34
agdb,2961,62
aeec,3019,20
agge,3020,21
adcg,3026,27
agce,3053,54
afge,3058,59
abca,3064,65
aegg,3080,81
acgc,3082,83
aafa,3084,85
ahia,3092,93
abed,3095,96
ajcc,3111,12
ajhe,3112,13
ageb,3140,41
ahfg,3147,48
acaf,3164,65
abcb,3187,88
agji,3196,97
ahda,3206,7
agaj,3232,33
aedb,3237,38
aahg,3239,40
adaf,3239,40
agad,3249,50
ahgd,3266,67
abah,3269,70
afgh,3278,79
aaga,3283,84
aejg,3287,88
abcf,3309,10
ajaj,3333,34
ajia,3345,46
acbf,3356,57
aigi,3356,57
adbb,3396,97
aeba,3396,97
afeh,3396,97
acbe,3406,7
aaej,3407,8
aceg,3413,14
aacf,3415,16
agba,3415,16
adgj,3420,21
acfh,3429,30
aeig,3437,38
ajea,3445,46
aifg,3466,67
abhi,3467,68
abhh,3468,69
ahai,3474,75
abda,3479,80
aagb,3488,89
aehc,3506,7
agbb,3513,14
adfj,3527,28
ahbc,3533,34
ahfe,3534,35
ajad,3535,36
aace,3559,60
afje,3590,91
abfe,3592,93
aigg,3596,97
adee,3603,4
achi,3636,37
acda,3639,40
ahab,3656,57
ajhh,3660,61
agei,3665,66
adcc,3667,68
aaia,3671,72
abae,3677,78
aieg,3677,78
afeg,3693,94
adeg,3698,99
adcb,3702,3
agee,3702,3
aced,3704,5
aicj,3709,10
ahib,3719,20
agif,3722,23
acih,3739,40
aajg,3743,44
ajgb,3748,49
afec,3749,50
achd,3753,54
aich,3763,64
afcg,3777,78
aejd,3796,97
agjb,3813,14
aeag,3827,28
acff,3835,36
aabb,3837,38
aica,3860,61
afdg,3868,69
ajdi,3877,78
aiia,3891,92
aibe,3897,98
adjb,3908,9
aeia,3910,11
ahcd,3920,21
aagd,3925,26
aebf,3926,27
aegd,3927,28
aeac,3937,38
adab,3939,40
acii,3950,51
aicb,3962,63
aead,3972,73
abdb,3982,83
agid,3985,86
ahde,3988,89
agbc,4008,9
aehe,4044,45
ajji,4058,59
agdh,4105,6
adch,4106,7
agjh,4111,12
ajda,4114,15
agfd,4115,16
aefh,4121,22
afih,4150,51
adcd,4160,61
aidb,4168,69
ahid,4170,71
ajeg,4196,97
aafi,4202,3
agbd,4210,11
abhj,4211,12
abgi,4216,17
ajci,4225,26
afij,4228,29
afhb,4260,61
aaci,4278,79
affe,4278,79
aggf,4287,88
adgc,4294,95
adac,4299,100
ahbi,4310,11
acgh,4329,30
abgd,4336,37
aceh,4344,45
ahfj,4357,58
aaah,4358,59
aeah,4362,63
acdg,4374,75
ahcf,4394,95
aahd,4404,5
aidh,4413,14
addb,4415,16
acdh,4426,27
afdb,4431,32
aggb,4434,35
abec,4443,44
ajae,4462,63
acga,4473,74
aahf,4490,91
afjh,4491,92
ajcg,4497,98
aiff,4499,100
abjg,4504,5
ahaf,4507,8
aaji,4528,29
aiei,4538,39
afgg,4549,50
agjd,4561,62
abac,4584,85
aegh,4585,86
aifd,4604,5
afig,4607,8
aifi,4614,15
aiij,4630,31
aaaj,4647,48
ajba,4659,60
aiah,4665,66
agfh,4688,89
ahfc,4726,27
agia,4741,42
ajag,4741,42
aeej,4743,44
aggi,4744,45
aifb,4750,51
adhi,4751,52
agii,4762,63
abeb,4769,70
aiaf,4770,71
aceb,4780,81
acdb,4786,87
aeed,4844,45
aefb,4857,58
ahci,4857,58
adaj,4858,59
ajjh,4861,62
adjc,4863,64
adag,4870,71
aiih,4878,79
adeh,4896,97
ajaa,4905,6
afji,4925,26
adha,4927,28
aeaj,4930,31
aiej,4959,60
abbh,4961,62
abij,4964,65
aajb,4983,84
abbg,5015,16
adii,5031,32
agef,5043,44
ajij,5053,54
acje,5058,59
abjj,5072,73
afif,5072,73
adcf,5077,78
aege,5082,83
agcd,5087,88
ahhd,5090,91
agbj,5114,15
aeeg,5123,24
afha,5131,32
aagc,5143,44
ajjc,5153,54
adhg,5166,67
abaj,5179,80
aebd,5196,97
agjg,5200,1
afej,5203,4
adbf,5224,25
aade,5240,41
afgi,5242,43
adbj,5243,44
aaje,5260,61
ahjd,5263,64
acaj,5271,72
acfd,5280,81
abff,5283,84
agae,5289,90
ahfa,5291,92
afjf,5295,96
aaif,5301,2
afgb,5304,5
aebj,5306,7
adbi,5315,16
ajab,5316,17
afhc,5330,31
aigb,5335,36
afhi,5337,38
ajih,5338,39
abfj,5363,64
adej,5365,66
ahef,5388,89
adgd,5389,90
aacb,5400,1
abgb,5405,6
acic,5414,15
acjj,5416,17
ajig,5419,20
aajh,5426,27
aghi,5434,35
acag,5452,53
ajdb,5482,83
aach,5484,85
afjb,5494,95
aifh,5496,97
afdj,5501,2
ahag,5509,10
ahhh,5513,14
aeci,5516,17
aaaa,5544,45
aiad,5554,55
aecc,5566,67
ahhb,5566,67
adad,5577,78
abaf,5591,92
abhe,5593,94
aaee,5599,100
ahif,5609,10
abfh,5613,14
aecg,5613,14
aehf,5614,15
agbg,5634,35
abba,5649,50
adje,5650,51
acbb,5651,52
aigd,5659,60
ajhd,5665,66
abcg,5669,70
afda,5683,84
afbj,5690,91
aiif,5693,94
afac,5718,19
ahic,5723,24
afdc,5728,29
ajgg,5762,63
agic,5768,69
ajdc,5771,72
agej,5774,75
abdc,5822,23
abeh,5850,51
abdf,5851,52
afjc,5885,86
aabc,5902,3
aacd,5904,5
aegc,5929,30
ajbe,5933,34
adgg,5946,47
ajbh,5949,50
abih,5977,78
ahgh,5985,86
aaib,5986,87
aece,6005,6
adjj,6009,10
aaec,6011,12
afga,6015,16
ahii,6020,21
aghc,6044,45
ajfj,6060,61
adea,6073,74
aide,6074,75
aeca,6083,84
ahhj,6108,9
afaf,6114,15
aghe,6130,31
abhb,6146,47
aeda,6169,70
aebc,6173,74
afdi,6174,75
aadb,6175,76
acee,6192,93
ajjg,6207,8
acjg,6230,31
abfb,6232,33
agib,6237,38
aadf,6241,42
adhc,6252,53
ajed,6290,91
ajch,6312,13
aaai,6320,21
ahja,6329,30
afbf,6336,37
abji,6370,71
adhd,6385,86
aafh,6398,99
ahhf,6432,33
acbh,6445,46
adhh,6453,54
aeab,6459,60
aedd,6459,60
aabe,6471,72
afaa,6477,78
aihg,6477,78
adeb,6479,80
ageg,6484,85
agja,6485,86
ajbc,6493,94
addc,6512,13
agfb,6515,16
acdi,6517,18
ajii,6518,19
aejj,6519,20
ajai,6524,25
abce,6546,47
abcj,6549,50
aahi,6550,51
ajdf,6585,86
aggh,6592,93
aegj,6595,96
ajfh,6598,99
agjf,6604,5
afee,6610,11
ahhc,6619,20
acai,6632,33
acgd,6634,35
aiai,6635,36
abch,6642,43
ahij,6653,54
ahed,6679,80
ajhi,6683,84
abig,6687,88
aeaf,6692,93
agie,6704,5
abbj,6714,15
agcg,6734,35
aagf,6736,37
abif,6740,41
aagi,6742,43
aijb,6747,48
ajdg,6747,48
achc,6748,49
aiaj,6766,67
ajbd,6778,79
ahea,6794,95
abic,6796,97
aeje,6802,3
aiib,6808,9
abei,6816,17
ajhb,6821,22
aggg,6827,28
ahhg,6830,31
ahga,6834,35
ahec,6836,37
aajj,6837,38
aibc,6837,38
acbj,6858,59
adgh,6865,66
afia,6865,66
ahcg,6876,77
aegi,6880,81
aacj,6885,86
aejf,6893,94
ajcd,6896,97
agcf,6902,3
aaed,6907,8
ahch,6909,10
aeeb,6911,12
ajgf,6913,14
aheg,6916,17
adgb,6925,26
adfe,6926,27
adff,6944,45
ahbj,6944,45
ahig,6957,58
ahjj,6958,59
agcc,6960,61
abfd,6966,67
ajff,6970,71
acfb,6975,76
aajd,7007,8
ahaa,7015,16
afah,7016,17
ajgi,7024,25
afhj,7048,49
ajga,7053,54
afgj,7075,76
afae,7077,78
aiec,7082,83
ahah,7085,86
adge,7099,100
ahcc,7110,11
aagj,7117,18
agcb,7117,18
aggd,7118,19
aecj,7145,46
ahcb,7147,48
ajie,7151,52
adjd,7163,64
aedi,7163,64
aefg,7176,77
ajib,7185,86
ahge,7190,91
aede,7209,10
